song_name,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,zero_crossing_rate_mean,zero_crossing_rate_var,chroma_stft_mean,chroma_stft_var,rolloff_mean,rolloff_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,file_path
blues.00000.wav,0.1302506,0.0028222397,1784.097875,129672.7292,2002.529199,85789.64151,0.08309057844,0.0007665361927,0.35011467,0.08880574,3805.618655,901074.5334,-4.53E-05,0.008166945,6.86E-06,0.005709973,123.046875,-113.54401,2562.285,121.56645,295.4197,-19.153696,235.54523,42.34862,150.82619,-6.3633885,168.2712,18.61085,89.1713,-13.689468,67.60574,15.34033,69.03724,-12.276132,82.27433,10.963193,63.470333,-8.329161,61.800514,8.803121,51.382412,-3.6676056,41.24744,5.7374716,40.543808,-5.167731,49.772984,0.7516468,52.446964,-1.6872789,36.57301,-0.4143534,41.594894,-2.3037324,55.05095,1.217703,46.96895,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00000.wav
blues.00001.wav,0.095917694,0.0023736148,1530.353493,375816.3076,2039.173642,213707.5333,0.05606371995,0.001446998883,0.3407821,0.094954416,3550.391031,2975942.623,0.0001434462,0.005078934,-0.00018184354,0.003074505,67.99958882,-207.4948,7765.3516,123.97885,559.6109,8.947063,572.8292,35.867447,264.78503,2.902682,280.15164,21.52157,156.31883,-8.559198,200.87012,23.374283,142.17871,-10.104613,166.23344,11.90306,104.47743,-5.5638394,105.19709,5.378363,96.24593,-2.2312198,64.927704,4.2220316,73.18271,-6.0045114,52.537163,0.93306637,55.361565,-0.7252715,60.126778,0.29197353,48.136593,-0.28466505,51.13349,0.5309552,45.8392,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00001.wav
blues.00002.wav,0.17552854,0.0027504782,1552.774438,156544.1492,1747.724563,76134.2424,0.07633192694,0.001006495968,0.36359861,0.08527897,3041.348276,782540.5336,4.98E-07,0.016344571,-1.49E-05,0.00746347,161.49902344,-90.743484,3321.061,140.4349,509.13904,-29.08442,411.574,31.678402,144.42851,-13.964345,156.41307,25.731047,74.42591,-13.634225,106.90586,11.614477,106.71488,-11.76827,65.68048,9.692447,67.92057,-13.105883,57.668804,5.77916,64.61437,-8.892152,60.4821,-1.0904908,57.756596,-9.215185,36.461777,2.4475522,40.63991,-7.7217298,47.68363,-1.8205646,52.44283,-3.4337409,46.623245,-2.2357912,30.67051,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00002.wav
blues.00003.wav,0.14116262,0.0063356864,1070.054168,184513.7585,1596.177899,166630.8894,0.03332084916,0.0004225988502,0.40494457,0.094033,2184.936788,1494024.963,1.89E-06,0.019062765,-1.60E-05,0.0027129354,63.02400915,-199.44371,5492.0347,150.10304,456.62094,5.6456656,256.94302,26.869637,158.2328,1.754846,267.881,14.237019,126.88368,-4.826571,156.07353,9.30302,81.073944,-0.7485595,92.366356,8.151299,71.16736,-3.1923556,110.319405,6.0874467,48.154026,-2.475335,56.80031,-1.0741988,62.23211,-2.875265,51.649574,0.7774502,44.456413,-3.3203835,50.239834,0.6369422,37.353508,-0.61576855,37.271523,-3.4042647,31.982252,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00003.wav
blues.00004.wav,0.09154654,0.0023046613,1835.439672,343416.1609,1748.347541,88468.96296,0.1015245184,0.001951139166,0.3121358,0.08855434,3580.857514,1572623.36,-1.82E-05,0.0048151,-9.45E-06,0.003096556,135.99917763,-160.25888,5193.9277,126.18934,854.09924,-35.581894,333.87622,22.140854,193.52142,-32.474514,336.47736,10.848754,134.81801,-23.345005,93.301544,0.48776916,124.78507,-11.792176,130.01982,1.1974007,99.71046,-13.072555,80.28375,-2.8149035,86.450806,-6.9285636,89.608986,-7.567493,70.89568,-9.169847,75.70991,-4.51631,86.011444,-5.447076,75.29929,-0.92419034,53.62753,-4.4028616,62.932064,-11.699671,55.198776,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00004.wav
blues.00005.wav,0.10348272,0.0039809346,1832.177961,1031326.274,1729.496991,202048.4828,0.09408559888,0.006235011899,0.30244732,0.08755186,3480.878952,3276391.183,-1.83E-07,0.008081815,-2.65E-05,0.0032451316,69.83741554,-177.79973,7307.82,118.18653,3197.6414,-17.573719,653.1989,30.73499,485.56372,-21.723906,433.42203,11.907265,266.05988,-20.735088,169.80325,3.1581748,133.50085,-8.5748005,172.32376,-0.9455661,100.10536,-11.772055,76.62274,-2.4088006,78.17818,-9.356119,79.9237,-9.946867,47.549675,-3.8949828,60.06118,-5.570372,72.59222,-1.8417649,68.69291,-2.7910402,42.57026,-3.045002,39.811134,-8.1098175,46.272133,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00005.wav
blues.00006.wav,0.14174564,0.008794844,1459.131248,438101.1771,1388.745897,185130.0682,0.07306947501,0.001908824974,0.2914585,0.09401957,2795.683095,1622853.935,-1.12E-05,0.016901713,-2.22E-05,0.0059703174,71.77734375,-190.14977,9653.071,130.28441,1933.9822,-36.352005,1307.7502,33.031067,480.3917,11.089697,1083.6658,-0.5924723,280.25925,-20.889023,151.76857,0.2704932,102.935036,-6.4965715,131.08702,-5.51845,153.51892,-7.842794,87.55158,-3.125469,64.24535,-6.5912194,79.16416,-9.952446,63.0189,-6.542615,86.41408,-10.07386,83.331825,-10.915584,56.971657,-6.970034,38.27479,-3.4474711,48.09587,-6.494797,70.05915,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00006.wav
blues.00007.wav,0.1318015,0.005531269,1451.740122,449865.3018,1577.540098,168245.6852,0.06147071673,0.00185084185,0.3073545,0.09284628,2955.16963,1630355.193,2.05E-05,0.013201885,-4.81E-05,0.0048845694,92.28515625,-179.37169,6579.296,136.44618,1479.9011,-26.639122,590.8057,39.978813,353.1888,5.3192606,650.1873,10.918023,136.34612,-20.556429,163.72878,8.491091,151.16104,-11.351324,171.95001,-3.4719515,178.29645,-8.420312,147.40991,-6.9610124,83.83593,-3.5500474,93.32111,-8.048333,57.376743,-8.958235,82.28106,-8.422872,70.48762,-10.564549,51.929234,-10.780818,60.509144,-4.6945286,65.58346,-8.638552,56.350956,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00007.wav
blues.00008.wav,0.14238392,0.0015025862,1719.316774,163382.7184,2031.752018,105593.9225,0.06406008127,0.000732221258,0.40901807,0.086505696,3781.564633,1262784.051,2.73E-07,0.012701395,-1.73E-05,0.0034650662,83.35433468,-121.3719,2622.8777,122.50023,414.59113,-14.733815,341.25244,46.132347,193.91603,-8.160214,176.71948,20.167095,106.96786,-19.166485,57.656933,23.045788,76.97883,-11.824449,42.483208,21.168276,58.48017,-6.7165594,48.997604,7.0009856,56.262543,-12.735524,61.77171,5.0580335,50.615395,-5.1724515,32.821915,-1.4475746,50.550793,-7.0375586,28.896713,2.6938534,36.92056,3.411229,33.715813,-2.7012067,36.08498,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00008.wav
blues.00009.wav,0.08132481,0.004347261,1817.552775,298249.6616,1973.757601,114191.4818,0.07922646726,0.001374932811,0.27408546,0.0923468,3944.730313,1367024.906,-2.15E-06,0.0071989773,-2.26E-05,0.0016884712,80.74951172,-213.19072,6132.592,115.15429,798.7619,-11.718416,668.7935,39.03206,350.77008,-20.357971,532.2878,13.08926,278.42368,-9.185092,126.49504,9.021029,67.97598,-14.103558,110.19628,4.2821126,92.49081,-6.045844,84.868,3.785556,104.50711,0.22386885,76.397354,-5.112378,85.43125,-0.4132956,104.026,-1.182381,59.35761,-1.9165056,58.52486,-2.2954187,83.17772,2.8907197,77.03252,-4.235241,91.51028,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00009.wav
blues.00010.wav,0.14289677,0.009192081,1410.829208,205221.5864,1513.151302,144896.7547,0.06299489497,0.0004406900345,0.3040152,0.09470335,2767.87493,1425396.906,-0.00011033646,0.021763885,8.64E-05,0.0039837942,161.49902344,-173.67265,8137.1733,137.13246,1081.684,-23.76839,1026.303,26.978888,495.917,-16.684929,289.81924,4.2161636,159.64963,-12.580884,150.43742,5.857315,82.46939,-2.882111,108.58659,-1.1886932,65.57771,-1.9812461,55.372543,1.7997665,57.96808,-3.001795,93.71827,-1.8682166,40.16093,-0.7965376,49.73769,-3.0135138,62.9588,-0.43502277,57.069138,-1.9990841,55.668633,-0.7448616,47.2187,-5.001647,46.47588,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00010.wav
blues.00011.wav,0.0657172,0.002500402,1353.361523,511867.1739,1757.519693,220208.425,0.04396836603,0.001895423666,0.36727607,0.102388084,2882.653402,2932572.457,3.20E-06,0.0049913186,-9.07E-06,0.00063876144,161.49902344,-287.88184,5937.7476,123.96407,993.43207,5.4578896,302.07562,33.68285,344.08844,1.098045,441.36765,14.704045,235.5596,-4.892794,149.38039,8.652742,189.15451,0.784892,148.81001,6.5674744,114.17944,-4.876864,93.81731,-3.1778727,84.2742,-5.554255,65.41471,-6.7857294,60.83449,-2.6487024,55.43319,-2.9831657,54.47988,-3.381636,39.85745,-1.8571719,46.75777,1.8394634,37.092693,-4.8907905,28.15476,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00011.wav
blues.00012.wav,0.11904305,0.0040557785,1361.024964,256903.5218,1567.520796,44862.97697,0.06914243905,0.002380481095,0.26934984,0.09390659,2739.625101,951940.9499,-2.92E-06,0.012515168,-5.96E-05,0.0026450683,184.5703125,-207.18689,4578.2856,132.80728,664.9415,-15.461444,935.73395,60.999565,330.06955,0.70520943,313.9541,12.465014,101.18182,1.156288,107.99165,-1.5254129,111.670845,-17.905052,96.414955,8.366519,94.87264,-2.4564989,139.76607,-0.5907043,92.761795,0.37268823,86.251755,2.6115785,53.745403,-5.1899147,45.844063,-9.531098,69.301605,-9.244805,63.707287,-2.8432777,68.8255,-1.4139062,112.36489,-5.930975,91.3754,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00012.wav
blues.00013.wav,0.11319937,0.0041901595,1324.277343,171632.0896,1827.285769,78043.8197,0.05143600795,0.001255902586,0.2647464,0.09118091,2710.01278,1074704.404,-1.22E-05,0.01268414,-6.47E-05,0.0016065981,107.66601562,-209.77148,1968.279,124.47059,542.35657,10.281346,661.6673,47.029266,148.29216,6.481329,101.94839,15.41561,146.24124,-2.00953,69.426125,6.7377205,76.001236,-21.548916,96.453545,10.730427,95.82575,-5.533401,90.73359,-2.2009096,59.223454,-3.0497208,52.370068,8.644173,71.809616,-0.31497613,68.662796,-0.636935,88.637405,-2.9336977,97.45403,-1.7033085,104.33435,-1.7635263,88.91568,-7.7573743,113.954094,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00013.wav
blues.00014.wav,0.06698945,0.002710959,1172.111148,147309.178,1705.75397,96369.63419,0.04506227476,0.001560887257,0.3287962,0.10797932,2345.214985,877515.1674,-0.00011719847,0.004702777,-0.00020008044,0.0012055675,151.99908088,-305.68198,8201.798,113.05546,682.3294,12.124074,1463.362,45.039085,224.75334,17.749392,249.11148,14.586457,154.87927,4.156865,157.63094,0.22396633,167.37231,-7.0219846,97.66499,13.644353,76.89822,8.922248,90.011444,1.2981089,62.769615,5.9542246,64.3303,8.544654,76.05979,1.1206969,137.16357,0.5946301,67.66998,0.0635025,96.595215,-3.7050052,65.66456,-0.99811304,89.41839,-1.8017888,113.55783,/Users/rgu/Desktop/UROPs/UROP4/genres_original/blues/blues.00014.wav
