song_name,genre,speaker_id,dry_weight,weight0,weight1,weight2,water_loss1,water_loss2,total_water_loss,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,blues,1,1.697,2.3791,2.3622,2.3454,0.0169,0.0168,0.0337,661794,0.3500881195,0.08875656873,0.1302279234,0.002826696495,1784.16585,129774.0645,2002.44906,85882.76132,3805.839606,901505.4255,0.08304482067,0.0007669456546,-4.53E-05,0.008172282018,7.78E-06,0.005698182154,123.046875,-113.5706482,2564.20752,121.5717926,295.9138184,-19.16814232,235.5744324,42.36642075,151.1068726,-6.364664078,167.9347992,18.62349892,89.18083954,-13.7048912,67.66049194,15.34315014,68.93257904,-12.27410984,82.20420074,10.97657204,63.38631058,-8.326573372,61.77309418,8.803792,51.24412537,-3.6723001,41.21741486,5.7479949,40.55447769,-5.162881851,49.77542114,0.7527402043,52.42090988,-1.690214634,36.52407074,-0.4089791775,41.59710312,-2.303522587,55.06292343,1.221290708,46.93603516,blues
blues.00000.wav,blues,2,2.2398,3.0993,3.08,3.0604,0.0193,0.0196,0.0389,661794,0.3500881195,0.08875656873,0.1302279234,0.002826696495,1784.16585,129774.0645,2002.44906,85882.76132,3805.839606,901505.4255,0.08304482067,0.0007669456546,-4.53E-05,0.008172282018,7.78E-06,0.005698182154,123.046875,-113.5706482,2564.20752,121.5717926,295.9138184,-19.16814232,235.5744324,42.36642075,151.1068726,-6.364664078,167.9347992,18.62349892,89.18083954,-13.7048912,67.66049194,15.34315014,68.93257904,-12.27410984,82.20420074,10.97657204,63.38631058,-8.326573372,61.77309418,8.803792,51.24412537,-3.6723001,41.21741486,5.7479949,40.55447769,-5.162881851,49.77542114,0.7527402043,52.42090988,-1.690214634,36.52407074,-0.4089791775,41.59710312,-2.303522587,55.06292343,1.221290708,46.93603516,blues
blues.00001.wav,blues,1,2.0938,2.9459,2.9327,2.9131,0.0132,0.0196,0.0328,661794,0.3409135938,0.09498025477,0.09594780952,0.002372739138,1530.176679,375850.0736,2039.036516,213843.7555,3550.522098,2977893.388,0.05603980871,0.001447521491,0.0001395807194,0.005099332426,-0.0001776084246,0.003063171636,67.99958882,-207.5016937,7764.555176,123.9912643,560.2599487,8.955126762,572.8109131,35.8776474,264.5061035,2.907319784,279.9329224,21.51046562,156.4770966,-8.560436249,200.8491821,23.37068558,142.555954,-10.09966087,166.1085205,11.90049744,104.3586121,-5.55563879,105.1736298,5.376327038,96.19721222,-2.231760263,64.91429138,4.220139503,73.15253448,-6.01214838,52.42214203,0.9279977679,55.35640335,-0.7311245799,60.31452942,0.295072943,48.12059784,-0.2835180163,51.10618973,0.5312165022,45.78628159,blues
blues.00001.wav,blues,2,1.7753,2.5336,2.5183,2.4888,0.0153,0.0295,0.0448,661794,0.3409135938,0.09498025477,0.09594780952,0.002372739138,1530.176679,375850.0736,2039.036516,213843.7555,3550.522098,2977893.388,0.05603980871,0.001447521491,0.0001395807194,0.005099332426,-0.0001776084246,0.003063171636,67.99958882,-207.5016937,7764.555176,123.9912643,560.2599487,8.955126762,572.8109131,35.8776474,264.5061035,2.907319784,279.9329224,21.51046562,156.4770966,-8.560436249,200.8491821,23.37068558,142.555954,-10.09966087,166.1085205,11.90049744,104.3586121,-5.55563879,105.1736298,5.376327038,96.19721222,-2.231760263,64.91429138,4.220139503,73.15253448,-6.01214838,52.42214203,0.9279977679,55.35640335,-0.7311245799,60.31452942,0.295072943,48.12059784,-0.2835180163,51.10618973,0.5312165022,45.78628159,blues
blues.00002.wav,blues,1,1.9536,2.7848,2.7713,2.7591,0.0135,0.0122,0.0257,661794,0.3636371791,0.08527519554,0.1755704135,0.002745916368,1552.811865,156467.6434,1747.702312,76254.19226,3042.260232,784034.4607,0.07629120746,0.001006829079,2.11E-06,0.0163419731,-1.95E-05,0.007457626052,161.4990234,-90.72259521,3319.044922,140.4463043,508.7650452,-29.09388924,411.7812195,31.6843338,144.0903168,-13.98450375,155.4937592,25.7647419,74.54840088,-13.66487503,106.9818268,11.63993359,106.5748749,-11.78364277,65.44794464,9.71876049,67.90885925,-13.13380337,57.78142548,5.791199207,64.48020935,-8.907628059,60.38515091,-1.077000499,57.71113586,-9.229273796,36.58098602,2.451689959,40.59876633,-7.729092598,47.63942719,-1.816406965,52.38214111,-3.439720392,46.63965988,-2.231258392,30.57302475,blues
blues.00002.wav,blues,2,2.0735,2.9095,2.9,2.88,0.0095,0.02,0.0295,661794,0.3636371791,0.08527519554,0.1755704135,0.002745916368,1552.811865,156467.6434,1747.702312,76254.19226,3042.260232,784034.4607,0.07629120746,0.001006829079,2.11E-06,0.0163419731,-1.95E-05,0.007457626052,161.4990234,-90.72259521,3319.044922,140.4463043,508.7650452,-29.09388924,411.7812195,31.6843338,144.0903168,-13.98450375,155.4937592,25.7647419,74.54840088,-13.66487503,106.9818268,11.63993359,106.5748749,-11.78364277,65.44794464,9.71876049,67.90885925,-13.13380337,57.78142548,5.791199207,64.48020935,-8.907628059,60.38515091,-1.077000499,57.71113586,-9.229273796,36.58098602,2.451689959,40.59876633,-7.729092598,47.63942719,-1.816406965,52.38214111,-3.439720392,46.63965988,-2.231258392,30.57302475,blues
blues.00003.wav,blues,1,2.0634,2.9102,2.8885,2.8688,0.0217,0.0197,0.0414,661794,0.4047847092,0.09399903566,0.1410930008,0.006346346345,1070.106615,184355.9424,1596.412872,166441.4948,2184.745799,1493194.36,0.03330886263,0.0004227589871,4.58E-07,0.01905448735,-1.45E-05,0.002712198067,63.02400915,-199.5442047,5507.51709,150.0908966,456.5054016,5.662678242,257.1611633,26.85907936,158.2673035,1.77139926,268.0343933,14.23403072,126.7941284,-4.832006454,155.9120789,9.286494255,81.27374268,-0.7591864467,92.11408997,8.137606621,71.31407928,-3.200653315,110.2366867,6.079319,48.2519989,-2.480173826,56.79940033,-1.079305053,62.28990173,-2.870788574,51.65159225,0.7808738351,44.42775345,-3.319596529,50.20667267,0.6369650364,37.31912994,-0.6191211939,37.25973892,-3.407448292,31.94933891,blues
blues.00003.wav,blues,2,1.8822,2.6281,2.6029,2.5921,0.0252,0.0108,0.036,661794,0.4047847092,0.09399903566,0.1410930008,0.006346346345,1070.106615,184355.9424,1596.412872,166441.4948,2184.745799,1493194.36,0.03330886263,0.0004227589871,4.58E-07,0.01905448735,-1.45E-05,0.002712198067,63.02400915,-199.5442047,5507.51709,150.0908966,456.5054016,5.662678242,257.1611633,26.85907936,158.2673035,1.77139926,268.0343933,14.23403072,126.7941284,-4.832006454,155.9120789,9.286494255,81.27374268,-0.7591864467,92.11408997,8.137606621,71.31407928,-3.200653315,110.2366867,6.079319,48.2519989,-2.480173826,56.79940033,-1.079305053,62.28990173,-2.870788574,51.65159225,0.7808738351,44.42775345,-3.319596529,50.20667267,0.6369650364,37.31912994,-0.6191211939,37.25973892,-3.407448292,31.94933891,blues
blues.00004.wav,blues,1,1.9901,2.7327,2.7186,2.7068,0.0141,0.0118,0.0259,661794,0.3085260391,0.08784098178,0.0915287137,0.002303397749,1835.004266,343399.9393,1748.172116,88445.20904,3579.757627,1572977.832,0.1014605387,0.001954124702,-1.76E-05,0.004814000335,-1.01E-05,0.003093899461,135.9991776,-160.3377075,5195.291992,126.219635,853.784729,-35.58781052,333.7929382,22.14807129,193.4561005,-32.47859955,336.276825,10.85229397,134.8315735,-23.35232925,93.25709534,0.4984337687,124.6721268,-11.793437,130.073349,1.20725584,99.67557526,-13.08841801,80.25406647,-2.813867331,86.43062592,-6.933385372,89.55544281,-7.552725315,70.94333649,-9.164666176,75.79340363,-4.520575523,86.09923553,-5.454033852,75.26970673,-0.9168741107,53.6139183,-4.404827118,62.91081238,-11.70323372,55.19515991,blues
blues.00004.wav,blues,2,1.9297,2.7286,2.7146,2.703,0.014,0.0116,0.0256,661794,0.3085260391,0.08784098178,0.0915287137,0.002303397749,1835.004266,343399.9393,1748.172116,88445.20904,3579.757627,1572977.832,0.1014605387,0.001954124702,-1.76E-05,0.004814000335,-1.01E-05,0.003093899461,135.9991776,-160.3377075,5195.291992,126.219635,853.784729,-35.58781052,333.7929382,22.14807129,193.4561005,-32.47859955,336.276825,10.85229397,134.8315735,-23.35232925,93.25709534,0.4984337687,124.6721268,-11.793437,130.073349,1.20725584,99.67557526,-13.08841801,80.25406647,-2.813867331,86.43062592,-6.933385372,89.55544281,-7.552725315,70.94333649,-9.164666176,75.79340363,-4.520575523,86.09923553,-5.454033852,75.26970673,-0.9168741107,53.6139183,-4.404827118,62.91081238,-11.70323372,55.19515991,blues
